,exp,edu,scale,avgsalary,lnsalary,city,type,industry
5225,3-4年经验,本科,150-500人,10.0,2.302585092994046,其他,民营公司,通信/电信运营、增值服务
5226,无工作经验,高中,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
5227,无工作经验,无学历要求,50-150人,6.0,1.791759469228055,其他,民营公司,计算机软件
5228,无工作经验,大专,150-500人,7.0,1.9459101490553128,北京,民营公司,金融/投资/证券
5229,无工作经验,本科,150-500人,7.5,2.0149030205422647,北京,民营公司,金融/投资/证券
5230,无工作经验,本科,500-1000人,12.5,2.525728644308256,北京,合资,金融/投资/证券
5231,无工作经验,本科,50-150人,6.0,1.791759469228055,其他,民营公司,计算机软件
5232,无工作经验,本科,50-150人,6.0,1.791759469228055,其他,民营公司,计算机软件
5233,3-4年经验,本科,150-500人,17.5,2.862200880929469,上海,外资企业,计算机服务(系统、数据服务、维修)
5234,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,其他,外资企业,计算机服务(系统、数据服务、维修)
5235,1年经验,本科,150-500人,14.166666666666668,2.6508917872622617,上海,外资企业,计算机服务(系统、数据服务、维修)
5236,2年经验,本科,1000-5000人,12.0,2.4849066497880004,北京,国企,其他
5237,2年经验,本科,150-500人,5.0,1.6094379124341005,其他,民营公司,计算机软件
5238,1年经验,大专,150-500人,5.0,1.6094379124341005,其他,民营公司,计算机软件
5239,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,北京,合资,互联网/电子商务
5240,无工作经验,本科,150-500人,17.5,2.862200880929469,北京,合资,互联网/电子商务
5241,无工作经验,本科,150-500人,7.0,1.9459101490553128,广州,合资,互联网/电子商务
5242,3-4年经验,本科,150-500人,15.0,2.7080502011022096,其他,民营公司,计算机软件
5243,3-4年经验,本科,150-500人,14.0,2.6390573296152584,其他,民营公司,计算机软件
5244,3-4年经验,本科,150-500人,15.0,2.7080502011022096,其他,民营公司,计算机软件
5245,3-4年经验,本科,150-500人,15.0,2.7080502011022096,合肥,民营公司,计算机软件
5246,5-7年经验,无学历要求,1000-5000人,20.0,2.9957322735539913,深圳,民营公司,互联网/电子商务
5247,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,成都,民营公司,互联网/电子商务
5248,无工作经验,中专,150-500人,8.5,2.1400661634962708,广州,民营公司,金融/投资/证券
5249,无工作经验,大专,150-500人,12.5,2.525728644308256,北京,民营公司,金融/投资/证券
5250,3-4年经验,本科,10000人以上,8.0,2.079441541679836,武汉,民营公司,互联网/电子商务
5251,无工作经验,大专,150-500人,7.0,1.9459101490553128,北京,民营公司,金融/投资/证券
5252,1年经验,本科,150-500人,12.5,2.525728644308256,北京,民营公司,金融/投资/证券
5253,1年经验,本科,150-500人,5.25,1.6582280766035324,北京,外资企业,金融/投资/证券
5254,1年经验,大专,少于50人,6.5,1.8718021769015916,上海,创业公司,金融/投资/证券
5255,2年经验,本科,500-1000人,9.0,2.19722457733622,杭州,民营公司,互联网/电子商务
5256,1年经验,本科,500-1000人,9.0,2.19722457733622,杭州,民营公司,互联网/电子商务
5257,1年经验,本科,500-1000人,12.5,2.525728644308256,杭州,民营公司,互联网/电子商务
5258,3-4年经验,本科,50-150人,30.0,3.4011973816621555,深圳,民营公司,互联网/电子商务
5259,3-4年经验,无学历要求,50-150人,30.0,3.4011973816621555,广州,民营公司,互联网/电子商务
5260,无工作经验,无学历要求,150-500人,3.75,1.3217558399823195,其他,民营公司,其他
5261,2年经验,硕士,50-150人,12.5,2.525728644308256,深圳,民营公司,计算机服务(系统、数据服务、维修)
5262,3-4年经验,本科,500-1000人,20.0,2.9957322735539913,北京,民营公司,互联网/电子商务
5263,3-4年经验,本科,500-1000人,20.0,2.9957322735539913,北京,民营公司,互联网/电子商务
5264,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5265,无工作经验,本科,1000-5000人,9.0,2.19722457733622,武汉,国企,计算机软件
5266,无工作经验,本科,1000-5000人,14.0,2.6390573296152584,北京,国企,计算机软件
5267,无工作经验,本科,1000-5000人,9.0,2.19722457733622,其他,国企,计算机软件
5268,无工作经验,本科,1000-5000人,13.0,2.5649493574615367,其他,国企,计算机软件
5269,无工作经验,本科,1000-5000人,12.0,2.4849066497880004,南京,国企,计算机软件
5270,无工作经验,本科,1000-5000人,12.0,2.4849066497880004,广州,国企,计算机软件
5271,无工作经验,本科,1000-5000人,11.0,2.3978952727983707,其他,国企,计算机软件
5272,无工作经验,本科,1000-5000人,14.0,2.6390573296152584,杭州,国企,计算机软件
5273,无工作经验,本科,1000-5000人,14.0,2.6390573296152584,广州,国企,计算机软件
5274,2年经验,本科,1000-5000人,14.0,2.6390573296152584,南京,国企,计算机软件
5275,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5276,无工作经验,本科,150-500人,10.5,2.3513752571634776,北京,合资,金融/投资/证券
5277,无工作经验,大专,150-500人,10.5,2.3513752571634776,北京,合资,金融/投资/证券
5278,无工作经验,无学历要求,150-500人,10.5,2.3513752571634776,北京,合资,金融/投资/证券
5279,无工作经验,无学历要求,150-500人,10.5,2.3513752571634776,北京,合资,金融/投资/证券
5280,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5281,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5282,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5283,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5284,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5285,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5286,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5287,无工作经验,无学历要求,150-500人,8.0,2.079441541679836,北京,合资,金融/投资/证券
5288,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5289,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5290,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5291,无工作经验,无学历要求,150-500人,8.0,2.079441541679836,北京,合资,金融/投资/证券
5292,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5293,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5294,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,北京,合资,金融/投资/证券
5295,无工作经验,大专,150-500人,7.0,1.9459101490553128,北京,合资,金融/投资/证券
5296,无工作经验,无学历要求,150-500人,12.5,2.525728644308256,北京,合资,金融/投资/证券
5297,无工作经验,无学历要求,150-500人,10.5,2.3513752571634776,北京,合资,金融/投资/证券
5298,3-4年经验,大专,5000-10000人,12.0,2.4849066497880004,西安,合资,计算机软件
5299,3-4年经验,本科,5000-10000人,27.0,3.2958368660043287,上海,合资,计算机软件
5300,无工作经验,大专,5000-10000人,3.75,1.3217558399823195,上海,合资,计算机软件
5301,3-4年经验,本科,5000-10000人,15.5,2.7408400239252013,上海,合资,计算机软件
5302,2年经验,大专,10000人以上,7.0,1.9459101490553128,广州,民营公司,快速消费品(食品、饮料、化妆品)
5303,3-4年经验,本科,50-150人,12.5,2.525728644308256,上海,民营公司,计算机软件
5304,2年经验,无学历要求,150-500人,6.0,1.791759469228055,广州,民营公司,专业服务(咨询、人力资源、财会)
5305,无工作经验,无学历要求,150-500人,12.5,2.525728644308256,北京,合资,金融/投资/证券
5306,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,北京,合资,金融/投资/证券
5307,无工作经验,中专,150-500人,9.0,2.19722457733622,北京,合资,金融/投资/证券
5308,3-4年经验,大专,1000-5000人,15.0,2.7080502011022096,合肥,民营公司,互联网/电子商务
5309,无工作经验,无学历要求,500-1000人,12.5,2.525728644308256,北京,民营公司,金融/投资/证券
5310,无工作经验,本科,150-500人,12.5,2.525728644308256,北京,合资,金融/投资/证券
5311,3-4年经验,本科,1000-5000人,12.5,2.525728644308256,深圳,上市公司,通信/电信运营、增值服务
5312,5-7年经验,本科,5000-10000人,22.5,3.1135153092103742,上海,上市公司,互联网/电子商务
5313,3-4年经验,大专,1000-5000人,18.5,2.917770732084279,深圳,民营公司,互联网/电子商务
5314,3-4年经验,大专,1000-5000人,18.5,2.917770732084279,深圳,民营公司,互联网/电子商务
5315,1年经验,大专,500-1000人,5.25,1.6582280766035324,广州,民营公司,快速消费品(食品、饮料、化妆品)
5316,无工作经验,本科,10000人以上,16.0,2.772588722239781,深圳,外资企业,其他
5317,无工作经验,本科,10000人以上,15.0,2.7080502011022096,南京,外资企业,其他
5318,1年经验,大专,150-500人,5.5,1.7047480922384253,其他,民营公司,计算机软件
5319,1年经验,大专,150-500人,5.0,1.6094379124341005,广州,民营公司,计算机软件
5320,5-7年经验,大专,少于50人,22.5,3.1135153092103742,广州,民营公司,计算机软件
5321,3-4年经验,本科,少于50人,22.5,3.1135153092103742,广州,民营公司,计算机软件
5322,3-4年经验,本科,1000-5000人,12.5,2.525728644308256,成都,国企,其他
5323,无工作经验,本科,5000-10000人,10.0,2.302585092994046,其他,民营公司,快速消费品(食品、饮料、化妆品)
5324,1年经验,本科,5000-10000人,12.5,2.525728644308256,北京,民营公司,快速消费品(食品、饮料、化妆品)
5325,无工作经验,本科,150-500人,4.0,1.3862943611198906,上海,民营公司,互联网/电子商务
5326,2年经验,本科,150-500人,9.0,2.19722457733622,北京,民营公司,计算机软件
5327,无工作经验,无学历要求,50-150人,8.5,2.1400661634962708,广州,民营公司,其他
5328,无工作经验,无学历要求,50-150人,8.5,2.1400661634962708,其他,民营公司,其他
5329,无工作经验,无学历要求,50-150人,8.5,2.1400661634962708,广州,民营公司,其他
5330,无工作经验,无学历要求,50-150人,8.5,2.1400661634962708,其他,民营公司,其他
5331,无工作经验,大专,150-500人,15.0,2.7080502011022096,上海,民营公司,计算机软件
5332,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,其他,民营公司,计算机软件
5333,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,其他,民营公司,计算机软件
5334,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,其他,民营公司,计算机软件
5335,1年经验,本科,1000-5000人,11.5,2.4423470353692043,上海,上市公司,金融/投资/证券
5336,无工作经验,大专,150-500人,3.75,1.3217558399823195,上海,合资,互联网/电子商务
5337,无工作经验,无学历要求,50-150人,8.5,2.1400661634962708,其他,民营公司,其他
5338,无工作经验,无学历要求,50-150人,8.5,2.1400661634962708,广州,民营公司,其他
5339,无工作经验,无学历要求,50-150人,8.5,2.1400661634962708,其他,民营公司,其他
5340,2年经验,本科,少于50人,5.0,1.6094379124341005,其他,民营公司,互联网/电子商务
5341,无工作经验,无学历要求,50-150人,6.25,1.8325814637483104,其他,民营公司,其他
5342,无工作经验,无学历要求,500-1000人,12.5,2.525728644308256,北京,上市公司,金融/投资/证券
5343,无工作经验,本科,10000人以上,11.5,2.4423470353692043,其他,合资,互联网/电子商务
5344,无工作经验,高中,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券
5345,无工作经验,高中,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券
5346,无工作经验,高中,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券
5347,无工作经验,本科,少于50人,10.416666666666668,2.3434070875143007,南京,外资企业,计算机软件
5348,2年经验,本科,50-150人,15.0,2.7080502011022096,其他,民营公司,计算机软件
5349,2年经验,本科,500-1000人,11.5,2.4423470353692043,上海,上市公司,互联网/电子商务
5350,2年经验,本科,500-1000人,11.5,2.4423470353692043,上海,上市公司,互联网/电子商务
5351,3-4年经验,本科,500-1000人,16.0,2.772588722239781,上海,上市公司,互联网/电子商务
5352,3-4年经验,本科,500-1000人,16.0,2.772588722239781,上海,上市公司,互联网/电子商务
5353,无工作经验,无学历要求,1000-5000人,7.5,2.0149030205422647,南京,民营公司,金融/投资/证券
5354,无工作经验,高中,150-500人,5.25,1.6582280766035324,广州,合资,金融/投资/证券
5355,3-4年经验,本科,1000-5000人,25.0,3.218875824868201,上海,民营公司,金融/投资/证券
5356,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5357,无工作经验,无学历要求,500-1000人,11.5,2.4423470353692043,北京,上市公司,金融/投资/证券
5358,1年经验,本科,50-150人,5.0,1.6094379124341005,其他,民营公司,计算机软件
5359,2年经验,本科,1000-5000人,12.5,2.525728644308256,广州,国企,其他
5360,无工作经验,无学历要求,500-1000人,21.5,3.068052935133617,其他,民营公司,计算机软件
5361,无工作经验,无学历要求,500-1000人,14.0,2.6390573296152584,其他,民营公司,计算机软件
5362,3-4年经验,本科,10000人以上,11.5,2.4423470353692043,广州,民营公司,快速消费品(食品、饮料、化妆品)
5363,3-4年经验,本科,10000人以上,12.5,2.525728644308256,广州,民营公司,快速消费品(食品、饮料、化妆品)
5364,3-4年经验,本科,10000人以上,8.5,2.1400661634962708,广州,民营公司,快速消费品(食品、饮料、化妆品)
5365,3-4年经验,本科,10000人以上,9.0,2.19722457733622,广州,民营公司,快速消费品(食品、饮料、化妆品)
5366,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5367,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,广州,民营公司,互联网/电子商务
5368,无工作经验,无学历要求,150-500人,20.0,2.9957322735539913,上海,民营公司,其他
5369,3-4年经验,本科,500-1000人,20.0,2.9957322735539913,杭州,民营公司,互联网/电子商务
5370,无工作经验,无学历要求,1000-5000人,20.0,2.9957322735539913,上海,国企,互联网/电子商务
5371,无工作经验,无学历要求,150-500人,4.0,1.3862943611198906,其他,民营公司,互联网/电子商务
5372,2年经验,无学历要求,150-500人,12.5,2.525728644308256,广州,外资企业,互联网/电子商务
5373,1年经验,大专,10000人以上,6.5,1.8718021769015916,其他,民营公司,互联网/电子商务
5374,3-4年经验,本科,10000人以上,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务
5375,3-4年经验,本科,10000人以上,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务
5376,2年经验,本科,1000-5000人,25.0,3.218875824868201,上海,民营公司,互联网/电子商务
5377,3-4年经验,本科,10000人以上,12.0,2.4849066497880004,北京,民营公司,互联网/电子商务
5378,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,其他,民营公司,其他
5379,2年经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,计算机服务(系统、数据服务、维修)
5380,2年经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,计算机服务(系统、数据服务、维修)
5381,2年经验,本科,50-150人,9.0,2.19722457733622,其他,民营公司,计算机服务(系统、数据服务、维修)
5382,1年经验,大专,150-500人,14.583333333333332,2.6798793241355137,其他,民营公司,其他
5383,无工作经验,无学历要求,500-1000人,14.5,2.6741486494265287,上海,上市公司,互联网/电子商务
5384,5-7年经验,本科,500-1000人,16.0,2.772588722239781,广州,民营公司,其他
5385,无工作经验,无学历要求,少于50人,7.0,1.9459101490553128,其他,民营公司,计算机软件
5386,无工作经验,无学历要求,150-500人,17.5,2.862200880929469,武汉,上市公司,计算机软件
5387,2年经验,本科,50-150人,20.0,2.9957322735539913,北京,民营公司,计算机软件
5388,无工作经验,大专,少于50人,9.0,2.19722457733622,北京,民营公司,计算机软件
5389,3-4年经验,本科,10000人以上,9.0,2.19722457733622,武汉,合资,互联网/电子商务
5390,3-4年经验,本科,10000人以上,9.0,2.19722457733622,其他,合资,互联网/电子商务
5391,3-4年经验,本科,10000人以上,9.0,2.19722457733622,其他,合资,互联网/电子商务
5392,1年经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
5393,2年经验,本科,150-500人,12.5,2.525728644308256,上海,民营公司,互联网/电子商务
5394,无工作经验,大专,150-500人,7.5,2.0149030205422647,广州,合资,金融/投资/证券
5395,1年经验,硕士,1000-5000人,3.75,1.3217558399823195,其他,上市公司,金融/投资/证券
5396,无工作经验,无学历要求,10000人以上,11.5,2.4423470353692043,北京,上市公司,互联网/电子商务
5397,无工作经验,本科,500-1000人,17.5,2.862200880929469,北京,国企,计算机软件
5398,3-4年经验,本科,500-1000人,11.5,2.4423470353692043,北京,国企,计算机软件
5399,3-4年经验,本科,500-1000人,15.5,2.7408400239252013,北京,国企,计算机软件
5400,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5401,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5402,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5403,无工作经验,无学历要求,50-150人,8.0,2.079441541679836,其他,民营公司,通信/电信运营、增值服务
5404,无工作经验,本科,50-150人,8.0,2.079441541679836,其他,民营公司,通信/电信运营、增值服务
5405,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
5406,3-4年经验,本科,10000人以上,7.0,1.9459101490553128,其他,合资,互联网/电子商务
5407,2年经验,本科,少于50人,10.416666666666668,2.3434070875143007,成都,创业公司,其他
5408,2年经验,本科,少于50人,10.416666666666668,2.3434070875143007,成都,创业公司,其他
5409,2年经验,本科,少于50人,10.416666666666668,2.3434070875143007,成都,创业公司,其他
5410,2年经验,本科,少于50人,10.416666666666668,2.3434070875143007,成都,创业公司,其他
5411,无工作经验,本科,150-500人,6.0,1.791759469228055,深圳,民营公司,专业服务(咨询、人力资源、财会)
5412,1年经验,无学历要求,150-500人,11.0,2.3978952727983707,深圳,民营公司,专业服务(咨询、人力资源、财会)
5413,无工作经验,大专,150-500人,7.5,2.0149030205422647,广州,合资,金融/投资/证券
5414,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,西安,民营公司,通信/电信运营、增值服务
5415,无工作经验,无学历要求,50-150人,9.0,2.19722457733622,西安,民营公司,通信/电信运营、增值服务
5416,无工作经验,无学历要求,50-150人,6.0,1.791759469228055,其他,民营公司,通信/电信运营、增值服务
5417,无工作经验,本科,50-150人,2.5,0.9162907318741552,成都,民营公司,通信/电信运营、增值服务
5418,无工作经验,无学历要求,50-150人,6.5,1.8718021769015916,成都,民营公司,通信/电信运营、增值服务
5419,无工作经验,本科,50-150人,7.5,2.0149030205422647,其他,民营公司,通信/电信运营、增值服务
5420,3-4年经验,无学历要求,500-1000人,15.0,2.7080502011022096,杭州,外资企业,互联网/电子商务
5421,无工作经验,本科,500-1000人,4.5,1.5040773967762742,武汉,上市公司,计算机软件
5422,3-4年经验,本科,10000人以上,9.0,2.19722457733622,北京,外资企业,互联网/电子商务
5423,无工作经验,无学历要求,500-1000人,17.5,2.862200880929469,北京,民营公司,金融/投资/证券
5424,无工作经验,无学历要求,500-1000人,12.5,2.525728644308256,北京,民营公司,金融/投资/证券
5425,无工作经验,无学历要求,500-1000人,12.5,2.525728644308256,北京,民营公司,金融/投资/证券
5426,1年经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5427,无工作经验,无学历要求,500-1000人,12.5,2.525728644308256,北京,民营公司,金融/投资/证券
5428,2年经验,本科,1000-5000人,20.0,2.9957322735539913,北京,外资企业,互联网/电子商务
5429,3-4年经验,本科,50-150人,17.5,2.862200880929469,广州,民营公司,互联网/电子商务
5430,无工作经验,本科,1000-5000人,20.0,2.9957322735539913,北京,外资企业,互联网/电子商务
5431,1年经验,本科,1000-5000人,17.5,2.862200880929469,北京,外资企业,互联网/电子商务
5432,无工作经验,本科,1000-5000人,12.5,2.525728644308256,广州,国企,其他
5433,2年经验,本科,1000-5000人,20.0,2.9957322735539913,北京,外资企业,互联网/电子商务
5434,2年经验,本科,150-500人,9.0,2.19722457733622,其他,民营公司,计算机服务(系统、数据服务、维修)
5435,无工作经验,高中,150-500人,8.5,2.1400661634962708,广州,民营公司,金融/投资/证券
5436,无工作经验,大专,10000人以上,12.5,2.525728644308256,北京,民营公司,互联网/电子商务
5437,无工作经验,本科,10000人以上,12.5,2.525728644308256,北京,民营公司,互联网/电子商务
5438,无工作经验,本科,10000人以上,12.5,2.525728644308256,北京,民营公司,互联网/电子商务
5439,无工作经验,无学历要求,10000人以上,12.5,2.525728644308256,北京,民营公司,互联网/电子商务
5440,无工作经验,大专,50-150人,6.0,1.791759469228055,武汉,民营公司,互联网/电子商务
5441,无工作经验,本科,50-150人,6.0,1.791759469228055,北京,民营公司,计算机软件
5442,无工作经验,本科,50-150人,5.25,1.6582280766035324,其他,民营公司,计算机软件
5443,1年经验,大专,50-150人,9.0,2.19722457733622,北京,民营公司,金融/投资/证券
5444,3-4年经验,大专,5000-10000人,15.0,2.7080502011022096,其他,民营公司,互联网/电子商务
5445,无工作经验,本科,少于50人,4.5,1.5040773967762742,其他,民营公司,其他
5446,无工作经验,本科,少于50人,4.5,1.5040773967762742,其他,民营公司,其他
5447,无工作经验,本科,少于50人,3.9,1.3609765531356006,其他,民营公司,其他
5448,1年经验,本科,500-1000人,12.5,2.525728644308256,北京,国企,计算机软件
5449,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
5450,2年经验,本科,1000-5000人,15.0,2.7080502011022096,上海,民营公司,互联网/电子商务
5451,无工作经验,无学历要求,1000-5000人,27.5,3.3141860046725258,上海,民营公司,互联网/电子商务
5452,无工作经验,本科,50-150人,12.5,2.525728644308256,上海,民营公司,互联网/电子商务
5453,2年经验,大专,1000-5000人,9.0,2.19722457733622,广州,民营公司,其他
5454,无工作经验,本科,10000人以上,17.5,2.862200880929469,北京,外资企业,其他
5455,3-4年经验,本科,50-150人,6.5,1.8718021769015916,其他,民营公司,计算机软件
5456,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5457,无工作经验,本科,10000人以上,11.5,2.4423470353692043,深圳,上市公司,其他
5458,3-4年经验,大专,1000-5000人,17.5,2.862200880929469,杭州,上市公司,互联网/电子商务
5459,3-4年经验,无学历要求,150-500人,12.5,2.525728644308256,上海,创业公司,互联网/电子商务
5460,1年经验,大专,150-500人,17.5,2.862200880929469,广州,合资,金融/投资/证券
5461,3-4年经验,无学历要求,500-1000人,14.0,2.6390573296152584,上海,民营公司,计算机软件
5462,3-4年经验,硕士,500-1000人,16.0,2.772588722239781,上海,民营公司,计算机软件
5463,2年经验,大专,1000-5000人,6.0,1.791759469228055,成都,民营公司,互联网/电子商务
5464,1年经验,大专,150-500人,5.0,1.6094379124341005,广州,民营公司,计算机软件
5465,2年经验,无学历要求,1000-5000人,20.0,2.9957322735539913,上海,民营公司,互联网/电子商务
5466,3-4年经验,无学历要求,1000-5000人,22.5,3.1135153092103742,上海,民营公司,互联网/电子商务
5467,2年经验,本科,50-150人,17.5,2.862200880929469,北京,创业公司,计算机软件
5468,2年经验,本科,5000-10000人,12.5,2.525728644308256,广州,民营公司,其他
5469,2年经验,本科,少于50人,11.5,2.4423470353692043,广州,民营公司,计算机服务(系统、数据服务、维修)
5470,无工作经验,大专,50-150人,5.0,1.6094379124341005,其他,民营公司,金融/投资/证券
5471,无工作经验,大专,50-150人,5.0,1.6094379124341005,其他,民营公司,金融/投资/证券
5472,无工作经验,大专,50-150人,5.0,1.6094379124341005,其他,民营公司,金融/投资/证券
5473,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5474,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5475,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5476,无工作经验,大专,50-150人,5.0,1.6094379124341005,其他,民营公司,金融/投资/证券
5477,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5478,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5479,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5480,无工作经验,大专,50-150人,5.0,1.6094379124341005,其他,民营公司,金融/投资/证券
5481,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
5482,3-4年经验,本科,1000-5000人,17.5,2.862200880929469,北京,国企,计算机软件
5483,5-7年经验,本科,1000-5000人,15.0,2.7080502011022096,北京,国企,计算机软件
5484,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,上海,民营公司,互联网/电子商务
5485,无工作经验,无学历要求,1000-5000人,12.5,2.525728644308256,其他,民营公司,其他
5486,无工作经验,无学历要求,50-150人,12.5,2.525728644308256,上海,民营公司,计算机服务(系统、数据服务、维修)
5487,无工作经验,无学历要求,50-150人,15.0,2.7080502011022096,上海,民营公司,计算机服务(系统、数据服务、维修)
5488,无工作经验,本科,50-150人,9.0,2.19722457733622,上海,民营公司,互联网/电子商务
5489,无工作经验,无学历要求,1000-5000人,9.0,2.19722457733622,广州,外资企业,快速消费品(食品、饮料、化妆品)
5490,无工作经验,无学历要求,500-1000人,3.75,1.3217558399823195,北京,国企,通信/电信运营、增值服务
5491,无工作经验,无学历要求,500-1000人,5.25,1.6582280766035324,杭州,国企,通信/电信运营、增值服务
5492,1年经验,本科,500-1000人,8.0,2.079441541679836,合肥,国企,通信/电信运营、增值服务
5493,1年经验,本科,500-1000人,8.0,2.079441541679836,北京,国企,通信/电信运营、增值服务
5494,1年经验,本科,10000人以上,15.0,2.7080502011022096,广州,上市公司,互联网/电子商务
5495,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5496,1年经验,大专,50-150人,9.0,2.19722457733622,北京,民营公司,金融/投资/证券
5497,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
5498,无工作经验,中专,150-500人,7.0,1.9459101490553128,深圳,民营公司,金融/投资/证券
5499,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
5500,无工作经验,无学历要求,500-1000人,10.5,2.3513752571634776,上海,国企,互联网/电子商务
5501,无工作经验,本科,1000-5000人,5.25,1.6582280766035324,广州,合资,专业服务(咨询、人力资源、财会)
5502,5-7年经验,本科,500-1000人,12.5,2.525728644308256,广州,外资企业,其他
5503,2年经验,大专,50-150人,7.5,2.0149030205422647,其他,合资,其他
5504,无工作经验,无学历要求,50-150人,16.0,2.772588722239781,北京,创业公司,计算机软件
5505,2年经验,本科,150-500人,12.0,2.4849066497880004,南京,民营公司,计算机服务(系统、数据服务、维修)
5506,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5507,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5508,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
5509,无工作经验,高中,150-500人,10.5,2.3513752571634776,北京,民营公司,金融/投资/证券
5510,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5511,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5512,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5513,2年经验,本科,150-500人,7.5,2.0149030205422647,合肥,民营公司,互联网/电子商务
5514,无工作经验,高中,150-500人,6.25,1.8325814637483104,广州,民营公司,金融/投资/证券
5515,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5516,1年经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
5517,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,计算机软件
5518,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
