,exp,edu,scale,industry,avgsalary,lnsalary,city,type
3591,3-4年经验,大专,150-500人,服装/纺织/皮革,5.25,1.6582280766035324,其他,民营公司
3592,1年经验,大专,50-150人,"互联网/电子商务,贸易/进出口",9.0,2.1972245773362196,广州,民营公司
3593,无工作经验,本科,1000-5000人,"互联网/电子商务,影视/媒体/艺术/文化传播",8.0,2.0794415416798357,上海,国企
3594,无工作经验,大专,1000-5000人,"医疗/护理/卫生,制药/生物工程",3.75,1.3217558399823195,武汉,民营公司
3595,1年经验,大专,1000-5000人,快速消费品(食品、饮料、化妆品),22.5,3.1135153092103742,深圳,民营公司
3596,2年经验,大专,150-500人,服装/纺织/皮革,5.25,1.6582280766035324,其他,民营公司
3597,3-4年经验,本科,1000-5000人,快速消费品(食品、饮料、化妆品),7.0,1.9459101490553132,北京,外资企业
3598,1年经验,本科,50-150人,"贸易/进出口,互联网/电子商务",4.75,1.55814461804655,其他,民营公司
3599,无工作经验,本科,150-500人,"专业服务(咨询、人力资源、财会),金融/投资/证券",6.5,1.8718021769015913,其他,民营公司
3600,2年经验,本科,50-150人,"网络游戏,互联网/电子商务",12.5,2.5257286443082556,上海,民营公司
3601,无工作经验,大专,150-500人,"金融/投资/证券,银行",9.0,2.1972245773362196,深圳,民营公司
3602,3-4年经验,本科,50-150人,金融/投资/证券,17.5,2.8622008809294686,北京,合资
3603,2年经验,大专,50-150人,"互联网/电子商务,医疗/护理/卫生",5.5,1.7047480922384253,成都,民营公司
3604,3-4年经验,本科,500-1000人,通信/电信/网络设备,12.5,2.5257286443082556,北京,国企
3605,2年经验,本科,5000-10000人,机械/设备/重工,7.0,1.9459101490553132,杭州,外资企业
3606,无工作经验,本科,150-500人,"计算机服务(系统、数据服务、维修),计算机软件",9.0,2.1972245773362196,上海,民营公司
3607,1年经验,本科,1000-5000人,"互联网/电子商务,家居/室内设计/装潢",6.5,1.8718021769015913,其他,民营公司
3608,2年经验,无学历要求,50-150人,贸易/进出口,9.0,2.1972245773362196,深圳,民营公司
3609,1年经验,本科,1000-5000人,"互联网/电子商务,计算机软件",6.5,1.8718021769015913,广州,外资企业
3610,无工作经验,无学历要求,1000-5000人,金融/投资/证券,10.0,2.302585092994046,上海,民营公司
3611,无工作经验,无学历要求,50-150人,服装/纺织/皮革,3.75,1.3217558399823195,西安,合资
3612,1年经验,大专,50-150人,服装/纺织/皮革,5.25,1.6582280766035324,其他,民营公司
3613,无工作经验,大专,150-500人,"服装/纺织/皮革,批发/零售",4.0,1.3862943611198906,西安,民营公司
3614,无工作经验,本科,10000人以上,电子技术/半导体/集成电路,12.5,2.5257286443082556,北京,外资企业
3615,无工作经验,本科,500-1000人,"计算机软件,交通/运输/物流",3.75,1.3217558399823195,其他,外资企业
3616,无工作经验,大专,1000-5000人,"批发/零售,医疗/护理/卫生",3.75,1.3217558399823195,其他,合资
3617,1年经验,大专,5000-10000人,"快速消费品(食品、饮料、化妆品),批发/零售",4.5,1.5040773967762742,广州,民营公司
3618,无工作经验,无学历要求,1000-5000人,"外包服务,银行",7.0,1.9459101490553132,合肥,民营公司
3619,无工作经验,无学历要求,1000-5000人,交通/运输/物流,5.75,1.749199854809259,广州,上市公司
3620,1年经验,大专,150-500人,服装/纺织/皮革,7.0,1.9459101490553132,广州,民营公司
3621,3-4年经验,本科,50-150人,金融/投资/证券,12.5,2.5257286443082556,西安,国企
3623,3-4年经验,本科,50-150人,快速消费品(食品、饮料、化妆品),12.5,2.5257286443082556,上海,民营公司
3624,3-4年经验,大专,1000-5000人,物业管理/商业中心,3.25,1.1786549963416462,其他,民营公司
3625,无工作经验,大专,150-500人,计算机服务(系统、数据服务、维修),5.25,1.6582280766035324,合肥,民营公司
3626,3-4年经验,本科,少于50人,物业管理/商业中心,5.25,1.6582280766035324,西安,国企
3627,无工作经验,本科,500-1000人,"服装/纺织/皮革,互联网/电子商务",5.25,1.6582280766035324,广州,民营公司
3628,无工作经验,本科,少于50人,"批发/零售,贸易/进出口",7.0,1.9459101490553132,深圳,民营公司
3629,2年经验,大专,500-1000人,快速消费品(食品、饮料、化妆品),5.25,1.6582280766035324,南京,国企
3630,1年经验,本科,150-500人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",8.0,2.0794415416798357,上海,合资
3631,无工作经验,无学历要求,,服装/纺织/皮革,5.25,1.6582280766035324,上海,合资
3632,1年经验,本科,50-150人,农/林/牧/渔,7.0,1.9459101490553132,其他,合资
3633,1年经验,本科,150-500人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",4.5,1.5040773967762742,上海,民营公司
3634,1年经验,本科,1000-5000人,"互联网/电子商务,贸易/进出口",9.0,2.1972245773362196,深圳,民营公司
3635,3-4年经验,大专,少于50人,生活服务,5.25,1.6582280766035324,上海,民营公司
3636,3-4年经验,本科,150-500人,批发/零售,10.5,2.3513752571634776,南京,民营公司
3638,无工作经验,硕士,150-500人,影视/媒体/艺术/文化传播,9.0,2.1972245773362196,广州,国企
3639,无工作经验,本科,50-150人,房地产,7.5,2.0149030205422647,其他,民营公司
3640,无工作经验,本科,少于50人,"金融/投资/证券,计算机软件",11.5,2.4423470353692043,合肥,民营公司
3641,3-4年经验,本科,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",17.5,2.8622008809294686,北京,上市公司
3642,无工作经验,本科,1000-5000人,快速消费品(食品、饮料、化妆品),5.25,1.6582280766035324,其他,合资
3643,无工作经验,大专,,保险,3.75,1.3217558399823195,其他,民营公司
3644,3-4年经验,本科,1000-5000人,电子技术/半导体/集成电路,10.5,2.3513752571634776,武汉,国企
3645,无工作经验,大专,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",20.0,2.995732273553991,北京,国企
3646,3-4年经验,本科,150-500人,"通信/电信/网络设备,电子技术/半导体/集成电路",15.416666666666666,2.7354491752903245,武汉,国企
3647,无工作经验,本科,1000-5000人,"服装/纺织/皮革,批发/零售",8.5,2.1400661634962708,广州,民营公司
3648,3-4年经验,本科,50-150人,"通信/电信/网络设备,计算机服务(系统、数据服务、维修)",13.0,2.5649493574615367,深圳,民营公司
3649,1年经验,大专,150-500人,服装/纺织/皮革,5.0,1.6094379124341003,杭州,民营公司
3650,无工作经验,本科,150-500人,制药/生物工程,6.0,1.791759469228055,其他,民营公司
3651,无工作经验,无学历要求,1000-5000人,服装/纺织/皮革,5.25,1.6582280766035324,其他,合资
3652,1年经验,本科,150-500人,"家具/家电/玩具/礼品,贸易/进出口",3.75,1.3217558399823195,其他,外资企业
3653,无工作经验,大专,50-150人,服装/纺织/皮革,5.25,1.6582280766035324,其他,民营公司
3654,3-4年经验,本科,,计算机软件,7.0,1.9459101490553132,其他,外资企业
3655,无工作经验,无学历要求,500-1000人,"家具/家电/玩具/礼品,贸易/进出口",4.75,1.55814461804655,其他,民营公司
3656,3-4年经验,硕士,1000-5000人,"建筑/建材/工程,外包服务",14.0,2.6390573296152584,南京,国企
3657,无工作经验,硕士,500-1000人,医疗/护理/卫生,7.0,1.9459101490553132,北京,民营公司
3658,无工作经验,无学历要求,150-500人,"建筑/建材/工程,家居/室内设计/装潢",4.5,1.5040773967762742,北京,国企
3660,无工作经验,本科,1000-5000人,制药/生物工程,10.0,2.302585092994046,广州,民营公司
3661,5-7年经验,本科,50-150人,互联网/电子商务,8.0,2.0794415416798357,深圳,民营公司
3662,2年经验,本科,1000-5000人,"汽车及零配件,航天/航空",18.75,2.9311937524164198,上海,民营公司
3663,无工作经验,高中,500-1000人,"外包服务,通信/电信/网络设备",7.0,1.9459101490553132,合肥,民营公司
3664,无工作经验,无学历要求,500-1000人,"印刷/包装/造纸,多元化业务集团公司",5.0,1.6094379124341003,成都,民营公司
3665,无工作经验,无学历要求,500-1000人,贸易/进出口,7.0,1.9459101490553132,深圳,民营公司
3666,无工作经验,无学历要求,50-150人,"金融/投资/证券,多元化业务集团公司",7.0,1.9459101490553132,广州,合资
3667,3-4年经验,大专,500-1000人,服装/纺织/皮革,7.0,1.9459101490553132,广州,民营公司
3668,无工作经验,无学历要求,1000-5000人,"多元化业务集团公司,家居/室内设计/装潢",10.0,2.302585092994046,其他,民营公司
3669,2年经验,大专,5000-10000人,酒店/旅游,6.5,1.8718021769015913,其他,民营公司
3671,无工作经验,无学历要求,5000-10000人,"中介服务,通信/电信/网络设备",6.25,1.8325814637483102,广州,国企
3672,3-4年经验,本科,50-150人,"计算机软件,互联网/电子商务",12.5,2.5257286443082556,上海,外资企业
3673,无工作经验,大专,500-1000人,专业服务(咨询、人力资源、财会),9.0,2.1972245773362196,成都,上市公司
3674,2年经验,大专,5000-10000人,"快速消费品(食品、饮料、化妆品),贸易/进出口",5.25,1.6582280766035324,成都,民营公司
3675,2年经验,本科,500-1000人,医疗设备/器械,10.416666666666668,2.3434070875143007,北京,外资企业
3676,无工作经验,高中,500-1000人,"金融/投资/证券,外包服务",6.0,1.791759469228055,成都,合资
3677,2年经验,本科,1000-5000人,"多元化业务集团公司,互联网/电子商务",7.5,2.0149030205422647,深圳,民营公司
3678,无工作经验,高中,少于50人,"专业服务(咨询、人力资源、财会),银行",7.0,1.9459101490553132,合肥,上市公司
3679,1年经验,本科,150-500人,"制药/生物工程,快速消费品(食品、饮料、化妆品)",12.5,2.5257286443082556,上海,外资企业
3680,无工作经验,大专,150-500人,教育/培训/院校,6.0,1.791759469228055,其他,民营公司
3681,无工作经验,大专,500-1000人,"电子技术/半导体/集成电路,新能源",7.5,2.0149030205422647,其他,上市公司
3682,2年经验,本科,1000-5000人,"互联网/电子商务,印刷/包装/造纸",9.0,2.1972245773362196,其他,民营公司
3683,2年经验,大专,50-150人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",9.5,2.2512917986064953,广州,民营公司
3684,3-4年经验,大专,150-500人,"电子技术/半导体/集成电路,计算机软件",25.0,3.2188758248682006,上海,民营公司
3685,1年经验,大专,50-150人,"餐饮业,快速消费品(食品、饮料、化妆品)",4.5,1.5040773967762742,武汉,民营公司
3686,2年经验,本科,150-500人,互联网/电子商务,15.0,2.70805020110221,深圳,国企
3687,2年经验,本科,500-1000人,"网络游戏,通信/电信运营、增值服务",9.0,2.1972245773362196,北京,外资企业
3688,1年经验,本科,少于50人,"电气/电力/水利,多元化业务集团公司",8.0,2.0794415416798357,广州,民营公司
3689,无工作经验,本科,150-500人,航天/航空,12.5,2.5257286443082556,上海,合资
3690,无工作经验,本科,少于50人,计算机软件,14.583333333333334,2.6798793241355137,其他,民营公司
3691,无工作经验,无学历要求,150-500人,"金融/投资/证券,计算机服务(系统、数据服务、维修)",11.5,2.4423470353692043,成都,外资企业
3692,3-4年经验,本科,500-1000人,计算机软件,12.5,2.5257286443082556,杭州,民营公司
3693,无工作经验,中专,150-500人,服装/纺织/皮革,4.25,1.4469189829363254,其他,民营公司
3694,无工作经验,无学历要求,1000-5000人,"餐饮业,快速消费品(食品、饮料、化妆品)",9.0,2.1972245773362196,成都,民营公司
3695,2年经验,本科,50-150人,制药/生物工程,7.0,1.9459101490553132,北京,民营公司
3696,无工作经验,本科,150-500人,计算机软件,17.5,2.8622008809294686,南京,民营公司
3697,3-4年经验,本科,1000-5000人,计算机软件,12.5,2.5257286443082556,其他,民营公司
3699,1年经验,大专,50-150人,交通/运输/物流,5.25,1.6582280766035324,上海,民营公司
3700,无工作经验,本科,150-500人,机械/设备/重工,2.5,0.9162907318741551,其他,外资企业
3701,1年经验,本科,500-1000人,"计算机软件,通信/电信/网络设备",13.5,2.6026896854443837,北京,外资企业
3703,3-4年经验,无学历要求,少于50人,计算机软件,12.0,2.4849066497880004,成都,民营公司
3704,2年经验,大专,50-150人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",7.0,1.9459101490553132,深圳,民营公司
3705,无工作经验,无学历要求,1000-5000人,批发/零售,22.5,3.1135153092103742,深圳,外资企业
3706,3-4年经验,本科,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",9.0,2.1972245773362196,广州,民营公司
3707,2年经验,大专,50-150人,制药/生物工程,13.0,2.5649493574615367,其他,外资企业
3708,3-4年经验,本科,500-1000人,机械/设备/重工,11.666666666666668,2.456735772821304,武汉,民营公司
3709,2年经验,大专,150-500人,服装/纺织/皮革,5.25,1.6582280766035324,杭州,民营公司
3710,无工作经验,无学历要求,500-1000人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",12.5,2.5257286443082556,上海,民营公司
3711,2年经验,本科,150-500人,"教育/培训/院校,学术/科研",12.5,2.5257286443082556,上海,国企
3712,1年经验,无学历要求,1000-5000人,批发/零售,3.75,1.3217558399823195,成都,外资企业
3713,3-4年经验,本科,1000-5000人,电子技术/半导体/集成电路,11.5,2.4423470353692043,武汉,国企
3714,3-4年经验,本科,少于50人,"金融/投资/证券,计算机软件",10.0,2.302585092994046,深圳,民营公司
3715,无工作经验,本科,50-150人,计算机服务(系统、数据服务、维修),7.5,2.0149030205422647,北京,民营公司
3716,1年经验,本科,50-150人,服装/纺织/皮革,6.25,1.8325814637483102,深圳,民营公司
3717,2年经验,本科,50-150人,计算机软件,9.0,2.1972245773362196,上海,民营公司
3718,无工作经验,高中,50-150人,计算机软件,5.5,1.7047480922384253,上海,民营公司
3719,3-4年经验,大专,50-150人,"服装/纺织/皮革,批发/零售",7.0,1.9459101490553132,广州,民营公司
3720,无工作经验,本科,少于50人,"仪器仪表/工业自动化,机械/设备/重工",10.416666666666668,2.3434070875143007,深圳,民营公司
3721,无工作经验,本科,150-500人,"贸易/进出口,服装/纺织/皮革",10.0,2.302585092994046,上海,外资企业
3722,无工作经验,无学历要求,1000-5000人,"金融/投资/证券,信托/担保/拍卖/典当",9.0,2.1972245773362196,广州,民营公司
3723,1年经验,本科,500-1000人,房地产,18.75,2.9311937524164198,其他,国企
3724,无工作经验,本科,150-500人,"家具/家电/玩具/礼品,原材料和加工",5.25,1.6582280766035324,广州,外资企业
3725,无工作经验,本科,150-500人,通信/电信/网络设备,3.75,1.3217558399823195,上海,民营公司
3726,无工作经验,无学历要求,50-150人,物业管理/商业中心,3.75,1.3217558399823195,其他,外资企业
3727,3-4年经验,本科,1000-5000人,美容/保健,9.0,2.1972245773362196,上海,外资企业
3728,无工作经验,无学历要求,50-150人,"中介服务,专业服务(咨询、人力资源、财会)",27.5,3.3141860046725258,杭州,民营公司
3729,2年经验,本科,500-1000人,银行,7.0,1.9459101490553132,深圳,民营公司
3730,2年经验,大专,500-1000人,"医疗/护理/卫生,医疗设备/器械",5.25,1.6582280766035324,成都,民营公司
3731,无工作经验,无学历要求,1000-5000人,"公关/市场推广/会展,外包服务",9.0,2.1972245773362196,广州,外资企业
3732,2年经验,本科,5000-10000人,"文字媒体/出版,影视/媒体/艺术/文化传播",9.0,2.1972245773362196,成都,国企
3733,无工作经验,无学历要求,1000-5000人,"公关/市场推广/会展,外包服务",9.0,2.1972245773362196,广州,外资企业
3734,2年经验,本科,5000-10000人,"文字媒体/出版,影视/媒体/艺术/文化传播",9.0,2.1972245773362196,成都,国企
3735,2年经验,本科,150-500人,"通信/电信/网络设备,计算机软件",12.5,2.5257286443082556,成都,国企
3736,1年经验,大专,150-500人,"租赁服务,汽车及零配件",5.5,1.7047480922384253,北京,民营公司
3737,无工作经验,大专,50-150人,汽车及零配件,5.25,1.6582280766035324,杭州,外资企业
3738,3-4年经验,大专,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",17.916666666666664,2.8857313783396625,其他,国企
3740,1年经验,本科,50-150人,专业服务(咨询、人力资源、财会),5.25,1.6582280766035324,其他,民营公司
3741,3-4年经验,大专,150-500人,汽车及零配件,9.0,2.1972245773362196,深圳,外资企业
3742,1年经验,本科,500-1000人,"计算机软件,计算机硬件",30.0,3.4011973816621555,深圳,民营公司
3743,无工作经验,无学历要求,500-1000人,"医疗/护理/卫生,制药/生物工程",11.666666666666668,2.456735772821304,北京,外资企业
3744,1年经验,本科,少于50人,"专业服务(咨询、人力资源、财会),公关/市场推广/会展",4.25,1.4469189829363254,武汉,民营公司
3745,2年经验,大专,50-150人,"外包服务,金融/投资/证券",5.25,1.6582280766035324,北京,民营公司
3746,无工作经验,大专,50-150人,汽车及零配件,3.75,1.3217558399823195,其他,国企
3747,无工作经验,无学历要求,150-500人,服装/纺织/皮革,5.0,1.6094379124341003,其他,民营公司
3748,2年经验,本科,150-500人,"计算机软件,互联网/电子商务",11.0,2.3978952727983707,南京,民营公司
3749,无工作经验,无学历要求,500-1000人,汽车及零配件,5.25,1.6582280766035324,其他,民营公司
3750,无工作经验,无学历要求,150-500人,"互联网/电子商务,计算机软件",12.5,2.5257286443082556,上海,民营公司
3751,2年经验,本科,500-1000人,"通信/电信运营、增值服务,计算机软件",8.0,2.0794415416798357,南京,民营公司
3752,无工作经验,无学历要求,500-1000人,"服装/纺织/皮革,批发/零售",9.0,2.1972245773362196,深圳,民营公司
3753,1年经验,大专,150-500人,服装/纺织/皮革,3.25,1.1786549963416462,其他,外资企业
3754,3-4年经验,本科,少于50人,"互联网/电子商务,计算机软件",12.5,2.5257286443082556,广州,民营公司
3755,无工作经验,本科,50-150人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",3.75,1.3217558399823195,广州,民营公司
3756,2年经验,本科,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",7.5,2.0149030205422647,其他,民营公司
3757,无工作经验,无学历要求,50-150人,"贸易/进出口,互联网/电子商务",4.75,1.55814461804655,其他,民营公司
3758,1年经验,大专,50-150人,"计算机软件,医疗/护理/卫生",7.0,1.9459101490553132,武汉,民营公司
3759,2年经验,本科,50-150人,"专业服务(咨询、人力资源、财会),计算机软件",7.75,2.0476928433652555,北京,民营公司
3760,1年经验,大专,150-500人,"制药/生物工程,医疗/护理/卫生",5.0,1.6094379124341003,广州,民营公司
3761,3-4年经验,大专,500-1000人,服装/纺织/皮革,8.0,2.0794415416798357,广州,民营公司
3762,无工作经验,无学历要求,150-500人,互联网/电子商务,5.25,1.6582280766035324,其他,民营公司
3763,3-4年经验,大专,少于50人,计算机软件,10.0,2.302585092994046,南京,民营公司
3764,2年经验,大专,1000-5000人,"互联网/电子商务,家具/家电/玩具/礼品",5.25,1.6582280766035324,南京,民营公司
3765,2年经验,大专,50-150人,互联网/电子商务,7.0,1.9459101490553132,上海,民营公司
3766,3-4年经验,本科,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",11.0,2.3978952727983707,上海,民营公司
3767,3-4年经验,本科,1000-5000人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",23.0,3.1354942159291497,广州,合资
3768,无工作经验,无学历要求,150-500人,"通信/电信运营、增值服务,通信/电信/网络设备",7.0,1.9459101490553132,合肥,民营公司
3769,3-4年经验,无学历要求,1000-5000人,"快速消费品(食品、饮料、化妆品),制药/生物工程",10.0,2.302585092994046,其他,合资
3770,1年经验,大专,150-500人,批发/零售,3.75,1.3217558399823195,其他,民营公司
3771,无工作经验,无学历要求,50-150人,互联网/电子商务,3.75,1.3217558399823195,武汉,民营公司
3772,1年经验,大专,150-500人,计算机服务(系统、数据服务、维修),5.25,1.6582280766035324,合肥,民营公司
3773,2年经验,本科,150-500人,互联网/电子商务,12.5,2.5257286443082556,广州,民营公司
3775,1年经验,本科,500-1000人,"计算机软件,互联网/电子商务",7.0,1.9459101490553132,合肥,上市公司
3776,3-4年经验,本科,150-500人,"互联网/电子商务,计算机软件",25.0,3.2188758248682006,上海,外资企业
3777,无工作经验,大专,150-500人,"租赁服务,金融/投资/证券",5.25,1.6582280766035324,上海,民营公司
3778,1年经验,无学历要求,50-150人,"互联网/电子商务,通信/电信/网络设备",5.25,1.6582280766035324,其他,民营公司
3779,无工作经验,中专,1000-5000人,"互联网/电子商务,交通/运输/物流",4.0,1.3862943611198906,广州,合资
3780,1年经验,本科,50-150人,"计算机服务(系统、数据服务、维修),医疗/护理/卫生",5.25,1.6582280766035324,上海,合资
3781,2年经验,无学历要求,50-150人,"快速消费品(食品、饮料、化妆品),贸易/进出口",7.0,1.9459101490553132,上海,民营公司
3782,无工作经验,中专,150-500人,"多元化业务集团公司,专业服务(咨询、人力资源、财会)",3.25,1.1786549963416462,其他,国企
3783,无工作经验,无学历要求,150-500人,"互联网/电子商务,计算机软件",7.0,1.9459101490553132,上海,上市公司
3784,无工作经验,硕士,500-1000人,"交通/运输/物流,学术/科研",10.416666666666668,2.3434070875143007,其他,国企
3785,无工作经验,无学历要求,150-500人,物业管理/商业中心,3.75,1.3217558399823195,其他,民营公司
3786,无工作经验,无学历要求,500-1000人,石油/化工/矿产/地质,7.0,1.9459101490553132,广州,外资企业
3787,1年经验,大专,10000人以上,"电子技术/半导体/集成电路,家具/家电/玩具/礼品",7.0,1.9459101490553132,上海,民营公司
3788,无工作经验,本科,1000-5000人,"汽车及零配件,机械/设备/重工",5.5,1.7047480922384253,其他,上市公司
3789,2年经验,中专,150-500人,"服装/纺织/皮革,批发/零售",5.5,1.7047480922384253,广州,民营公司
3790,无工作经验,无学历要求,10000人以上,"家居/室内设计/装潢,家具/家电/玩具/礼品",12.5,2.5257286443082556,广州,上市公司
3791,3-4年经验,无学历要求,150-500人,"多元化业务集团公司,机械/设备/重工",3.75,1.3217558399823195,西安,国企
3792,3-4年经验,本科,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",7.5,2.0149030205422647,广州,国企
3794,无工作经验,硕士,1000-5000人,交通/运输/物流,14.583333333333332,2.6798793241355137,南京,上市公司
3795,无工作经验,大专,50-150人,通信/电信/网络设备,9.0,2.1972245773362196,合肥,民营公司
3796,3-4年经验,大专,500-1000人,金融/投资/证券,6.5,1.8718021769015913,广州,民营公司
3797,无工作经验,本科,5000-10000人,"金融/投资/证券,保险",5.25,1.6582280766035324,其他,上市公司
3798,无工作经验,本科,10000人以上,"农/林/牧/渔,多元化业务集团公司",20.0,2.995732273553991,广州,上市公司
3799,无工作经验,本科,150-500人,"互联网/电子商务,计算机软件",17.5,2.8622008809294686,上海,民营公司
3800,无工作经验,无学历要求,150-500人,"广告,公关/市场推广/会展",12.5,2.5257286443082556,上海,外资企业
3801,3-4年经验,本科,1000-5000人,"家具/家电/玩具/礼品,家居/室内设计/装潢",20.0,2.995732273553991,广州,上市公司
3802,无工作经验,无学历要求,少于50人,"服装/纺织/皮革,批发/零售",7.0,1.9459101490553132,武汉,民营公司
3803,5-7年经验,本科,150-500人,会计/审计,7.0,1.9459101490553132,其他,民营公司
3804,无工作经验,无学历要求,少于50人,"专业服务(咨询、人力资源、财会),教育/培训/院校",3.75,1.3217558399823195,合肥,民营公司
3805,1年经验,本科,50-150人,计算机软件,9.0,2.1972245773362196,武汉,民营公司
3806,3-4年经验,大专,50-150人,互联网/电子商务,12.5,2.5257286443082556,广州,民营公司
3807,无工作经验,大专,1000-5000人,交通/运输/物流,3.75,1.3217558399823195,其他,民营公司
3808,无工作经验,无学历要求,5000-10000人,印刷/包装/造纸,5.25,1.6582280766035324,广州,外资企业
3809,无工作经验,无学历要求,5000-10000人,计算机服务(系统、数据服务、维修),5.25,1.6582280766035324,深圳,民营公司
3810,2年经验,硕士,150-500人,"医疗/护理/卫生,计算机软件",17.5,2.8622008809294686,上海,外资企业
3811,无工作经验,本科,150-500人,"计算机软件,通信/电信/网络设备",5.25,1.6582280766035324,北京,民营公司
3812,无工作经验,无学历要求,150-500人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",3.75,1.3217558399823195,广州,民营公司
3813,1年经验,大专,1000-5000人,"医疗/护理/卫生,医疗设备/器械",7.0,1.9459101490553132,上海,民营公司
3814,无工作经验,大专,5000-10000人,教育/培训/院校,5.25,1.6582280766035324,其他,上市公司
3815,1年经验,大专,1000-5000人,奢侈品/收藏品/工艺品/珠宝,7.0,1.9459101490553132,深圳,民营公司
3816,1年经验,本科,500-1000人,医疗/护理/卫生,6.5,1.8718021769015913,深圳,上市公司
3817,无工作经验,无学历要求,150-500人,"服装/纺织/皮革,互联网/电子商务",5.0,1.6094379124341003,杭州,民营公司
3818,无工作经验,无学历要求,10000人以上,家居/室内设计/装潢,3.75,1.3217558399823195,其他,民营公司
3819,2年经验,本科,5000-10000人,计算机软件,20.0,2.995732273553991,上海,外资企业
3820,1年经验,无学历要求,150-500人,服装/纺织/皮革,5.25,1.6582280766035324,广州,民营公司
3821,无工作经验,无学历要求,少于50人,"计算机软件,电气/电力/水利",4.5,1.5040773967762742,杭州,民营公司
3822,3-4年经验,本科,1000-5000人,保险,7.0,1.9459101490553132,其他,合资
3823,1年经验,本科,少于50人,专业服务(咨询、人力资源、财会),3.75,1.3217558399823195,其他,民营公司
3824,无工作经验,本科,1000-5000人,"通信/电信/网络设备,通信/电信运营、增值服务",3.75,1.3217558399823195,南京,民营公司
3825,2年经验,本科,5000-10000人,"金融/投资/证券,互联网/电子商务",15.0,2.70805020110221,北京,合资
3826,无工作经验,无学历要求,1000-5000人,电子技术/半导体/集成电路,5.25,1.6582280766035324,合肥,上市公司
3827,无工作经验,本科,500-1000人,通信/电信/网络设备,27.5,3.3141860046725258,杭州,外资企业
3828,无工作经验,无学历要求,10000人以上,"交通/运输/物流,制药/生物工程",5.5,1.7047480922384253,武汉,上市公司
3829,无工作经验,高中,50-150人,"互联网/电子商务,计算机软件",8.0,2.0794415416798357,深圳,民营公司
3830,无工作经验,无学历要求,10000人以上,新能源,5.25,1.6582280766035324,其他,合资
3831,1年经验,硕士,150-500人,制药/生物工程,11.5,2.4423470353692043,上海,国企
3832,2年经验,大专,150-500人,医疗/护理/卫生,5.25,1.6582280766035324,其他,民营公司
3833,1年经验,中专,500-1000人,"公关/市场推广/会展,快速消费品(食品、饮料、化妆品)",7.0,1.9459101490553132,上海,民营公司
3834,3-4年经验,大专,150-500人,服装/纺织/皮革,6.5,1.8718021769015913,南京,民营公司
3835,无工作经验,大专,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",7.0,1.9459101490553132,深圳,民营公司
3836,5-7年经验,大专,50-150人,"教育/培训/院校,计算机软件",21.5,3.068052935133617,北京,民营公司
3837,无工作经验,无学历要求,少于50人,批发/零售,6.75,1.9095425048844386,上海,民营公司
3838,1年经验,硕士,50-150人,"计算机软件,互联网/电子商务",11.5,2.4423470353692043,其他,国企
3839,1年经验,大专,少于50人,互联网/电子商务,12.0,2.4849066497880004,深圳,民营公司
3840,3-4年经验,本科,5000-10000人,"计算机软件,金融/投资/证券",15.5,2.740840023925201,深圳,上市公司
3841,1年经验,大专,50-150人,互联网/电子商务,5.25,1.6582280766035324,杭州,民营公司
3842,无工作经验,大专,少于50人,外包服务,6.5,1.8718021769015913,成都,民营公司
3843,2年经验,本科,1000-5000人,"汽车及零配件,机械/设备/重工",12.5,2.5257286443082556,上海,合资
3844,2年经验,大专,50-150人,批发/零售,3.0,1.0986122886681098,其他,民营公司
3845,无工作经验,无学历要求,50-150人,计算机软件,3.75,1.3217558399823195,其他,民营公司
3846,无工作经验,大专,50-150人,"学术/科研,医疗/护理/卫生",5.5,1.7047480922384253,上海,合资
3847,无工作经验,硕士,5000-10000人,"服装/纺织/皮革,批发/零售",7.0,1.9459101490553132,其他,民营公司
3848,1年经验,本科,1000-5000人,"制药/生物工程,医疗设备/器械",8.0,2.0794415416798357,北京,上市公司
3849,无工作经验,无学历要求,150-500人,"通信/电信运营、增值服务,通信/电信/网络设备",7.0,1.9459101490553132,合肥,民营公司
3850,2年经验,本科,50-150人,专业服务(咨询、人力资源、财会),4.25,1.4469189829363254,其他,民营公司
3851,1年经验,本科,50-150人,制药/生物工程,7.5,2.0149030205422647,上海,民营公司
3852,1年经验,大专,500-1000人,批发/零售,3.25,1.1786549963416462,其他,民营公司
3853,1年经验,本科,5000-10000人,快速消费品(食品、饮料、化妆品),7.0,1.9459101490553132,上海,外资企业
